team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
América FC - Minas Gerais,América Mineiro,2025,Brazil,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19,19,68,0,1,-1,1,0,1,0,0,0,1,0,-1,0,0,0,90,0,90,0,0,0,0,0,0,1,0,1,0,0,0,3,0,3,4,0,4,50,0,50,4,0,4,1,0,1,3,0,3,0,0,0,0,0,0,1,0,1,-1,0,-1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,100,100,100,100,100,1,0,0,0,0,0,1,0,0,100,0,0,0,0,0,100,0,0,0,0,0,50,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,1,0,1,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,3.00,0.00,3.00,4,0,4.00,0,0,0,0,0,0,0,0,0.03,0.00,1.03,0.32,0.00,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0,100,0
Clube Atlético Bragantino,Bragantino,2025,Brazil,6,3,3,0,1,1,0,2,1,1,3,1,2,0.83,1.33,0.33,0,20,20,22,8,6,2,14,9,5,7,1,2,4,5,-3,68,39,273,90,134,68,1,1,0,2,1,1,3,1,2,2,2,0,31,16,15,11,7,4,57,55,58,87,53,34,24,16,8,63,37,26,52,26,26,3,3,0,2,0,2,1,3,-2,2,2,0,3,1,2,1,0,1,1.5,2.33,0.67,2.33,3,1.67,1.33,2.33,0.33,1,0.67,1.33,0.83,1,0.67,0.5,1,0,0.33,0,0.67,6,4,1,1,1,1,3,2,1,1,1,1,3,2,0,0,0,0,0,2,5,5,5,5,0,1,2,2,2,2,0,1,3,3,3,3,100,67,17,17,17,17,100,67,33,33,33,33,100,67,0,0,0,0,0,33,83,83,83,83,0,33,67,67,67,67,0,33,100,100,100,100,3,2,0,2,1,0,1,1,0,50,33,0,67,33,0,33,33,0,17,33,0,54,17,33,0,33,33,33,50,33,67,33,67,0,5,3,2,83,100,67,4,1,3,67,33,100,0,0,0,0,0,0,33,67,0,50,33,67,17,0,33,5.17,5.33,5.00,2.2,3.5,1.33,83,67,67,50,50,33,17,17,1.60,1.88,1.31,1.17,0.89,1.45,33,2,0,1,0,0,1,2,0,2,0,1,0,1,1,3,0,0,0,33,33,33,50,33,67,0
ABC FC,ABC,2025,Brazil,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,21,21,67,0,1,-1,1,0,1,0,0,0,1,0,-1,0,0,0,90,0,90,0,0,0,0,0,0,1,0,1,0,0,0,13,0,13,0,0,0,50,0,50,15,0,15,8,0,8,7,0,7,0,0,0,0,0,0,1,0,1,-1,0,-1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,100,100,100,100,100,1,0,0,0,0,0,1,0,0,100,0,0,0,0,0,100,0,0,0,0,0,50,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,1,0,1,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,13.00,0.00,13.00,0,0,0.00,100,100,100,100,100,100,100,100,1.20,0.00,2.20,0.00,0.00,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,0,100,0
Associacao Portuguesa de Desportos,Portuguesa,2025,Brazil,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,22,22,57,1,1,0,2,2,0,1,0,1,0,0,0,90,90,0,90,90,0,0,0,0,1,1,0,0,0,0,0,0,0,4,4,0,2,2,0,50,50,0,12,12,0,5,5,0,7,7,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2,2,0,1,1,0,1,1,0,2,2,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,0,100,100,100,100,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,100,100,0,100,100,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100,100,0,0,0,0,100,100,0,0,0,0,4.00,4.00,0.00,2,2,0.00,0,0,0,0,0,0,0,0,0.67,1.67,0.00,0.07,1.07,0.00,100,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0
Ceará SC,Ceará,2025,Brazil,4,2,2,0,1,0,1,1,1,0,2,1,1,1,0.5,1.5,0,23,23,28,4,6,-2,10,5,5,2,2,3,3,-1,-1,90,90,90,60,60,60,1,0,1,1,1,0,2,1,1,1,0,1,27,16,11,8,7,1,53,61,45,71,42,29,18,13,5,53,29,24,40,29,11,1,0,1,3,3,0,-2,-3,1,1,0,1,1,0,1,2,2,0,1,0,2,2.5,2.5,2.5,1,1,1,1.5,1.5,1.5,1,1.5,0.5,0.25,0,0.5,0.75,1.5,0,4,3,2,1,0,0,2,1,1,1,0,0,2,2,1,0,0,0,0,1,2,3,4,4,0,1,1,1,2,2,0,0,1,2,2,2,100,75,50,25,0,0,100,50,50,50,0,0,100,100,50,0,0,0,0,25,50,75,100,100,0,50,50,50,100,100,0,0,50,100,100,100,3,1,0,2,1,0,1,0,0,75,25,0,100,50,0,50,0,0,25,0,50,0,25,0,50,25,50,0,50,50,50,25,0,50,2,0,2,50,0,100,3,2,1,75,100,50,0,0,0,0,0,0,25,0,50,25,0,50,50,100,0,6.75,8.00,5.50,2,3.5,0.50,100,50,50,50,50,50,50,25,1.88,2.43,1.34,1.22,1.16,1.28,75,0,1,0,0,0,0,1,1,1,1,0,0,2,0,0,2,0,1,25,50,0,50,50,50,25
América FC - Rio Grande do Norte,América RN,2025,Brazil,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,24,24,85,2,4,-2,6,0,6,0,2,0,4,0,-2,45,0,45,23,0,23,0,0,0,1,0,1,0,0,0,1,0,1,12,0,12,0,0,0,50,0,50,2,0,2,2,0,2,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,6,0,6,2,0,2,4,0,4,4,0,4,2,0,2,2,0,2,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,100,100,100,0,0,0,100,100,100,0,0,0,0,0,0,0,100,0,100,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,100,0,100,0,0,0,100,0,100,0,0,0,12.00,0.00,12.00,0,0,0.00,100,100,100,100,100,100,100,100,0.00,0.00,0.62,0.00,0.00,0.73,300,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,100,0,100,0
Clube Náutico Capibaribe,Náutico,2025,Brazil,4,1,3,0,2,0,2,0,0,0,2,1,1,1.5,0,2,0,25,25,18,8,4,4,12,3,9,1,7,2,2,-1,5,45,90,39,90,45,134,2,0,2,2,1,1,0,0,0,3,0,3,19,7,12,10,4,6,50,58,47,43,16,27,14,5,9,29,11,18,27,15,12,4,0,4,2,1,1,2,-1,3,2,0,2,1,0,1,1,1,0,1.75,0,2.33,3,3,3,2,1,2.33,1,2,0.67,1.5,1,1.67,1,0,1.33,0.5,1,0.33,4,4,3,1,0,0,1,1,1,0,0,0,3,3,2,1,0,0,0,0,1,3,4,4,0,0,0,1,1,1,0,0,1,2,3,3,100,100,75,25,0,0,100,100,100,0,0,0,100,100,67,33,0,0,0,0,25,75,100,100,0,0,0,100,100,100,0,0,33,67,100,100,4,2,0,1,0,0,3,2,0,100,50,0,100,0,0,100,67,0,50,0,67,-75,50,0,67,50,100,33,0,0,0,75,0,100,2,0,2,50,0,67,1,1,0,25,100,0,1,0,1,25,0,33,50,0,67,25,0,33,25,100,0,4.75,7.00,4.00,2.5,4,2.00,100,75,75,50,50,50,50,25,1.27,1.77,1.10,1.67,1.51,1.72,125,0,1,2,1,0,0,1,1,2,1,0,1,0,1,0,0,1,0,0,0,0,50,100,33,25
Vila Nova FC,Vila Nova,2025,Brazil,4,2,2,0,1,1,0,1,0,1,2,1,1,1,1.5,0.5,0,26,26,26,6,5,1,11,9,2,6,0,3,2,3,-2,60,30,0,72,60,90,2,1,1,0,0,0,3,1,2,1,1,0,23,14,9,14,7,7,50,54,45,60,42,18,22,17,5,38,25,13,42,28,14,1,1,0,2,0,2,-1,1,-2,1,1,0,2,1,1,1,0,1,1.25,2,0.5,2.75,4.5,1,1.5,3,0,1.25,1.5,1,0.75,0.5,1,0.25,0.5,0,0.5,0,1,3,3,2,1,1,1,2,2,2,1,1,1,1,1,0,0,0,0,1,1,2,3,3,3,0,0,0,1,1,1,1,1,2,2,2,2,75,75,50,25,25,25,100,100,100,50,50,50,50,50,0,0,0,0,25,25,50,75,75,75,0,0,0,50,50,50,50,50,100,100,100,100,2,1,0,1,0,0,1,1,0,50,25,0,50,0,0,50,50,0,25,50,0,40,50,50,50,0,0,0,75,50,100,25,50,0,3,2,1,75,100,50,3,1,2,75,50,100,0,0,0,0,0,0,25,50,0,50,50,50,25,0,50,5.75,7.00,4.50,3.5,3.5,3.50,50,50,50,50,50,50,50,50,1.75,2.49,1.00,1.47,1.37,1.57,125,1,0,0,0,0,0,1,3,1,0,0,0,2,0,1,0,1,1,25,0,50,50,50,50,25
Sampaio Corrêa FC,Sampaio Corrêa,2025,Brazil,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,27,27,72,0,1,-1,1,0,1,0,0,0,1,0,-1,0,0,0,90,0,90,0,0,0,0,0,0,1,0,1,0,0,0,6,0,6,3,0,3,50,0,50,9,0,9,2,0,2,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,100,0,100,0,0,0,1,0,1,100,0,100,1,0,1,100,0,100,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,6.00,0.00,6.00,3,0,3.00,100,0,0,0,0,0,0,0,0.02,0.00,1.02,0.97,0.00,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0,100,0
Agremiaçao Sportiva Arapiraquense,ASA,2025,Brazil,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,28,28,54,1,1,0,2,2,0,1,0,1,0,0,0,90,90,0,90,90,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,3,3,0,50,50,0,16,16,0,6,6,0,10,10,0,0,0,0,0,0,0,1,1,0,-1,-1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,0,100,100,100,100,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,3.00,3.00,0.00,3,3,0.00,100,0,0,0,0,0,0,0,0.58,1.58,0.00,0.00,0.58,0.00,100,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,100,100,0,0,0,0,0
Criciuma EC,Criciúma,2025,Brazil,4,1,3,0,3,1,2,0,0,0,1,0,1,2.25,3,2,0,30,30,12,4,7,-3,11,1,10,1,3,0,7,1,-4,90,90,90,51,0,39,2,1,1,1,0,1,1,0,1,3,1,2,29,6,23,7,4,3,46,34,49,49,10,39,14,2,12,35,8,27,30,16,14,2,0,2,3,0,3,-1,0,-1,1,0,1,2,1,1,1,0,1,1.25,1,1.33,2.75,1,3.33,1,1,1,1.75,0,2.33,1.25,0,1.67,0.5,0,0.67,0.75,0,1,4,2,2,1,1,1,1,0,0,0,0,0,3,2,2,1,1,1,0,2,2,3,3,3,0,1,1,1,1,1,0,1,1,2,2,2,100,50,50,25,25,25,100,0,0,0,0,0,100,67,67,33,33,33,0,50,50,75,75,75,0,100,100,100,100,100,0,33,33,67,67,67,3,2,0,0,0,0,3,2,0,75,50,0,0,0,0,100,67,0,75,100,67,50,50,100,33,25,0,33,25,0,33,75,100,67,2,1,1,50,100,33,2,1,1,50,100,33,1,0,1,25,0,33,25,0,33,50,100,33,25,0,33,7.25,6.00,7.67,1.75,4,1.00,100,100,100,75,75,75,50,50,1.37,0.96,1.51,1.25,1.37,1.22,50,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,2,0,1,0,0,0,25,0,33,25
EC Juventude,Juventude,2025,Brazil,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,32,32,69,0,1,-1,1,0,1,0,0,0,1,0,-1,0,0,0,90,0,90,0,0,0,0,0,0,1,0,1,0,0,0,6,0,6,0,0,0,50,0,50,8,0,8,1,0,1,7,0,7,0,0,0,0,0,0,1,0,1,-1,0,-1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,100,100,100,100,100,1,0,0,0,0,0,1,0,0,100,0,0,0,0,0,100,0,0,0,0,0,50,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,1,0,1,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,6.00,0.00,6.00,0,0,0.00,100,100,100,100,100,100,100,100,0.00,0.00,0.80,0.62,0.00,1.62,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,0,100,100
Botafogo FC João Pessoa,Botafogo PB,2025,Brazil,4,2,2,0,1,1,0,1,0,1,2,1,1,1,1.5,0.5,0,33,33,27,7,6,1,13,5,8,4,3,1,5,3,-2,51,45,60,60,180,36,1,1,0,2,0,2,1,1,0,2,1,1,12,4,8,9,0,9,39,37,40,39,20,19,13,5,8,26,15,11,41,26,15,4,2,2,4,0,4,0,2,-2,1,1,0,1,0,1,1,0,1,1.33,3,0.5,3.25,2.5,4,1.75,2,1.5,1.5,0.5,2.5,2.67,2,3,1.33,2,1,1.33,0,2,4,3,2,2,1,1,2,1,1,1,0,0,2,2,1,1,1,1,0,1,2,2,3,3,0,1,1,1,2,2,0,0,1,1,1,1,100,75,50,50,25,25,100,50,50,50,0,0,100,100,50,50,50,50,0,25,50,50,75,75,0,50,50,50,100,100,0,0,50,50,50,50,3,3,1,1,1,0,2,2,1,100,100,33,100,100,0,100,100,50,25,50,0,41,25,50,0,50,0,100,25,50,0,50,50,50,1,1,0,33,100,0,0,0,0,0,0,0,2,0,2,67,0,100,33,100,0,33,0,50,33,0,50,3.00,2.00,4.00,2.25,0,4.50,50,50,50,50,50,50,25,0,1.15,1.11,1.18,2.03,2.07,1.99,100,1,0,1,2,1,0,2,0,0,2,1,1,0,1,0,0,0,0,25,0,50,50,50,50,0
AD Confiança,Confiança,2025,Brazil,2,0,2,0,1,0,1,1,0,1,0,0,0,2,0,2,0,34,34,23,7,2,5,9,0,9,0,7,0,2,0,5,26,0,26,90,0,90,1,0,1,1,0,1,0,0,0,2,0,2,8,0,8,5,0,5,41,0,41,23,0,23,12,0,12,11,0,11,10,0,10,6,0,6,0,0,0,6,0,6,2,0,2,0,0,0,0,0,0,3,0,3,4.5,0,4.5,3.5,0,3.5,1,0,1,3,0,3,3,0,3,0,0,0,2,2,2,2,1,0,0,0,0,0,0,0,2,2,2,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,100,100,100,100,50,0,0,0,0,0,0,0,100,100,100,100,50,0,0,0,0,0,50,100,0,0,0,0,0,0,0,0,0,0,50,100,2,2,1,0,0,0,2,2,1,100,100,50,0,0,0,100,100,50,50,0,50,0,50,0,50,50,0,50,0,0,0,100,0,100,2,0,2,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,4.00,0.00,4.00,2.5,0,2.50,100,100,100,100,100,50,50,50,1.10,0.00,1.60,1.75,0.00,2.25,200,2,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,50,0,50,0,0,0,50
CS Alagoano,CSA,2025,Brazil,6,3,3,0,3,2,1,2,1,1,1,0,1,1.83,2.33,1.33,0,35,35,9,11,5,6,16,10,6,8,3,2,3,6,0,49,34,90,108,134,90,4,2,2,2,1,1,2,1,1,3,2,1,20,11,9,16,7,9,39,43,34,70,39,31,27,15,12,43,24,19,46,25,21,7,5,2,4,1,3,3,4,-1,2,1,1,3,2,1,1,0,1,1.5,1.67,1.33,2.67,3.33,2,1.83,2.67,1,0.83,0.67,1,1.83,2,1.67,1.17,1.67,0.67,0.67,0.33,1,4,4,3,3,2,0,2,2,2,2,2,0,2,2,1,1,0,0,2,2,3,3,4,6,1,1,1,1,1,3,1,1,2,2,3,3,67,67,50,50,33,0,67,67,67,67,67,0,67,67,33,33,0,0,33,33,50,50,67,100,33,33,33,33,33,100,33,33,67,67,100,100,4,4,2,2,2,1,2,2,1,67,67,33,67,67,33,67,67,33,50,67,33,33,67,67,67,33,33,33,33,33,33,50,67,33,4,2,2,67,67,67,3,1,2,50,33,67,1,1,0,17,33,0,33,33,33,50,67,33,17,0,33,3.33,3.67,3.00,2.67,2.33,3.00,67,67,50,33,33,33,33,17,1.31,1.46,1.16,1.97,1.61,2.32,50,1,3,2,1,1,0,1,0,2,0,1,1,1,1,0,0,1,0,33,33,33,17,0,33,17
Cuiabá EC,Cuiabá,2025,Brazil,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,36,36,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,4,0,4,0,0,0,49,0,49,5,0,5,2,0,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,100,0,100,0,0,0,1,0,1,100,0,100,1,0,1,100,0,100,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,4.00,0.00,4.00,0,0,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.74,0.00,0.00,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0
Clube do Remo,Remo,2025,Brazil,2,1,1,0,1,0,1,0,0,0,1,1,0,1.5,0,3,0,37,37,30,5,2,3,7,3,4,1,4,2,0,-1,4,36,90,23,90,45,0,1,0,1,1,1,0,0,0,0,1,0,1,10,7,3,2,2,0,50,50,50,30,8,22,13,4,9,17,4,13,0,0,0,2,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,2,1,3,3.5,3,4,2.5,1,4,1,2,0,1.5,2,1,1,1,1,0.5,1,0,2,2,2,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,2,2,0,0,0,1,1,1,0,0,0,0,1,1,100,100,100,50,0,0,100,100,100,0,0,0,100,100,100,100,0,0,0,0,0,50,100,100,0,0,0,100,100,100,0,0,0,0,100,100,2,1,0,1,1,0,1,0,0,100,50,0,100,100,0,100,0,0,50,0,100,-80,50,0,100,50,100,0,0,0,0,50,0,100,1,0,1,50,0,100,0,0,0,0,0,0,1,1,0,50,100,0,50,0,100,50,100,0,0,0,0,5.00,7.00,3.00,2,2,0.00,50,50,50,50,50,50,50,50,1.74,1.08,2.40,1.96,2.22,1.69,50,0,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,50,100,0,50
